.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,#,#,#,#,#,#,.,.,.,.,.,.,.,.,.,.,.
.,.,#,#,#,#,#,#,#,#,.,#,,,,,#,.,.,.,.,.,.,.,.,.,.,.
.,.,#,,,,,,,#,#,#,,#,#,,#,.,.,.,.,.,.,.,.,.,.,.
.,.,#,,@,,,,,#,#,,,,#,,#,.,.,.,.,.,.,.,.,.,.,.
.,.,#,,,,,,,#,#,,F,,#,,#,.,.,.,.,.,.,.,.,.,.,.
.,.,#,#,#,,#,#,#,#,#,,,,#,,#,#,#,#,#,#,#,#,#,#,.,.
.,.,.,.,#,,#,.,.,.,#,,,,#,,#,#,,,,,,,,#,.,.
.,.,.,.,#,,#,#,#,#,#,,,F,#,,#,#,,,F,,,,,#,.,.
.,.,.,.,#,,,,,,,,,,#,,#,#,,,,,,,,#,.,.
.,.,.,.,#,,#,#,#,#,#,,,,#,,,,,,,,F,,,#,.,.
.,.,.,.,#,,#,.,.,.,#,,,,#,#,#,#,,,,,,,,#,.,.
.,.,.,.,#,,#,.,.,.,#,,,,#,.,.,#,,,,,,,,#,.,.
.,#,#,#,#,,#,#,#,.,#,,,,#,.,.,#,#,#,,#,#,#,#,#,.,.
.,#,,,,,,,#,.,#,#,,#,#,.,.,.,.,#,,#,.,.,.,.,.,.
.,#,,,,,F,,#,.,.,#,,#,.,.,.,#,#,#,,#,#,#,#,.,.,.
.,#,,,,,,,#,.,.,#,,#,.,.,.,#,F,,,,,C,#,.,.,.
.,#,,,,,,,#,.,.,#,,#,.,.,.,#,#,#,,#,#,#,#,.,.,.
.,#,#,#,#,#,#,#,#,.,.,#,,#,.,.,.,.,.,#,,#,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,#,,#,#,#,#,#,#,#,,#,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,#,,,F,,,,,,,#,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,#,#,#,#,#,#,#,#,#,#,#,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
