.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,#,#,#,#,#,#,.,.,.,.,.,.,.,.,.,.,.
.,.,#,#,#,#,#,#,#,#,.,#,,,,,#,.,.,.,.,.,.,.,.,.,.,.
.,.,#,,,,,,,#,#,#,,#,#,,#,.,.,.,.,.,.,.,.,.,.,.
.,.,#,,@,,,,,#,#,,,,#,,#,.,.,.,.,.,.,.,.,.,.,.
.,.,#,,,,,,,#,#,,,,#,,#,.,.,.,.,.,.,.,.,.,.,.
.,.,#,#,#,,#,#,#,#,#,,,,#,,#,#,#,#,#,#,#,#,#,#,.,.
.,.,.,.,#,,#,.,.,.,#,,,,#,,#,#,,,,,,,,#,.,.
.,.,.,.,#,,#,#,#,#,#,,,,#,,#,#,,,,,,,,#,.,.
.,.,.,.,#,,,,,,,,,,#,,#,#,,,,,,,,#,.,.
.,.,.,.,#,,#,#,#,#,#,,,,#,,,,,,,,,,,#,.,.
.,.,.,.,#,,#,.,.,.,#,,,,#,#,#,#,,,,,,,,#,.,.
.,.,.,.,#,,#,.,.,.,#,,,,#,.,.,#,,,,,,,,#,.,.
.,#,#,#,#,,#,#,#,.,#,,,,#,.,.,#,#,#,#,#,#,#,#,#,.,.
.,#,,,,,,,#,.,#,#,,#,#,.,.,.,.,.,.,.,.,.,.,.,.,.
.,#,,,,,F,,#,.,.,#,,#,.,.,.,#,#,#,#,#,#,#,#,.,.,.
.,#,,,,,,,#,.,.,#,,#,.,.,.,#,,,,,C,,#,.,.,.
.,#,,,,,,,#,.,.,#,,#,.,.,.,#,#,#,,#,#,#,#,.,.,.
.,#,#,#,#,#,#,#,#,.,.,#,,#,.,.,.,.,.,#,,#,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,#,,#,#,#,#,#,#,#,,#,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,#,,,,,,,,,,#,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,#,#,#,#,#,#,#,#,#,#,#,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
